slot,round_order,round_name,region,team_a,team_b,p_team_a,p_team_b,team_a_win_rate,is_locked,team_b_win_rate,winner
FF_1,0,First Four,WEST,NC State,Texas,0.8789836854297979,0.12101631457020212,0.879,False,0.121,NC State
FF_2,0,First Four,MIDWEST,SMU,Miami OH,0.3956760507859422,0.6043239492140577,0.5962,False,0.40380000000000005,SMU
FF_3,0,First Four,MIDWEST,Howard,UMBC,0.5884466417602895,0.41155335823971056,0.4204,False,0.5796,UMBC
FF_4,0,First Four,SOUTH,Lehigh,Prairie View,0.532968327338818,0.467031672661182,0.4656,False,0.5344,Prairie View
R1_EAST_1,1,Round of 64,EAST,Duke,Siena,0.6130170248300295,0.3869829751699705,0.5992,False,0.40080000000000005,Duke
R1_EAST_2,1,Round of 64,EAST,Ohio State,TCU,0.6179719907229002,0.3820280092770998,0.3846,False,0.6154,TCU
R1_EAST_3,1,Round of 64,EAST,St John's,Northern Iowa,0.7303659825064686,0.26963401749353144,0.2656,False,0.7343999999999999,Northern Iowa
R1_EAST_4,1,Round of 64,EAST,Kansas,CA Baptist,0.3629510353338639,0.6370489646661361,0.6464,False,0.3536,Kansas
R1_EAST_5,1,Round of 64,EAST,Louisville,South Florida,0.6252491524670873,0.37475084753291266,0.6218,False,0.3782,Louisville
R1_EAST_6,1,Round of 64,EAST,Michigan St,N Dakota St,0.7478546696189696,0.2521453303810304,0.7574,False,0.24260000000000004,Michigan St
R1_EAST_7,1,Round of 64,EAST,UCLA,UCF,0.5273973398107226,0.47260266018927743,0.521,False,0.479,UCLA
R1_EAST_8,1,Round of 64,EAST,UConn,Furman,0.6674543405207428,0.3325456594792572,0.3278,False,0.6722,Furman
R1_MIDWEST_1,1,Round of 64,MIDWEST,Michigan,Howard,0.8667062954257165,0.13329370457428347,0.8599033816425121,False,0.14009661835748788,Michigan
R1_MIDWEST_1,1,Round of 64,MIDWEST,Michigan,UMBC,0.9028844201883398,0.09711557981166019,0.9081826831588963,False,0.09181731684110372,Michigan
R1_MIDWEST_2,1,Round of 64,MIDWEST,Georgia,Saint Louis,0.7847509381550343,0.21524906184496573,0.2176,False,0.7824,Saint Louis
R1_MIDWEST_3,1,Round of 64,MIDWEST,Texas Tech,Akron,0.9250244197592218,0.07497558024077833,0.9248,False,0.07520000000000004,Texas Tech
R1_MIDWEST_4,1,Round of 64,MIDWEST,Alabama,Hofstra,0.6717385340995867,0.3282614659004133,0.6696,False,0.3304,Alabama
R1_MIDWEST_5,1,Round of 64,MIDWEST,Tennessee,Miami OH,0.5084677842639123,0.49153221573608774,0.48440120764844014,False,0.5155987923515599,Miami OH
R1_MIDWEST_5,1,Round of 64,MIDWEST,Tennessee,SMU,0.6123945792765814,0.3876054207234186,0.6102030708271422,False,0.3897969291728578,Tennessee
R1_MIDWEST_6,1,Round of 64,MIDWEST,Virginia,Wright St,0.8986082882172174,0.10139171178278261,0.9008,False,0.09919999999999995,Virginia
R1_MIDWEST_7,1,Round of 64,MIDWEST,Kentucky,Santa Clara,0.8538721034607055,0.14612789653929448,0.8434,False,0.15659999999999996,Kentucky
R1_MIDWEST_8,1,Round of 64,MIDWEST,Iowa State,Tennessee St,0.6030260210406083,0.3969739789593917,0.405,False,0.595,Tennessee St
R1_SOUTH_1,1,Round of 64,SOUTH,Florida,Lehigh,0.9705893557035886,0.02941064429641127,0.967814371257485,False,0.03218562874251496,Florida
R1_SOUTH_1,1,Round of 64,SOUTH,Florida,Prairie View,0.9741338041281029,0.02586619587189709,0.9755154639175257,False,0.02448453608247425,Florida
R1_SOUTH_2,1,Round of 64,SOUTH,Clemson,Iowa,0.7216648499263031,0.2783351500736969,0.7246,False,0.2754,Clemson
R1_SOUTH_3,1,Round of 64,SOUTH,Vanderbilt,McNeese,0.7710559988434282,0.22894400115657176,0.2382,False,0.7618,McNeese
R1_SOUTH_4,1,Round of 64,SOUTH,Nebraska,Troy,0.30115332620007623,0.6988466737999237,0.695,False,0.30500000000000005,Nebraska
R1_SOUTH_5,1,Round of 64,SOUTH,North Carolina,VCU,0.49285669783193753,0.5071433021680625,0.5186,False,0.48140000000000005,North Carolina
R1_SOUTH_6,1,Round of 64,SOUTH,Illinois,Penn,0.8265625210702918,0.17343747892970818,0.8242,False,0.17579999999999996,Illinois
R1_SOUTH_7,1,Round of 64,SOUTH,Saint Mary's,Texas A&M,0.5980393447577296,0.4019606552422704,0.5986,False,0.4014,Saint Mary's
R1_SOUTH_8,1,Round of 64,SOUTH,Houston,Idaho,0.8594252931206091,0.1405747068793909,0.8644,False,0.13560000000000005,Houston
R1_WEST_1,1,Round of 64,WEST,Arizona,Long Island,0.8027166893924427,0.19728331060755733,0.8104,False,0.1896,Arizona
