season,team_a,team_b,score_a,score_b,neutral_site,round_name,game_date,home_team,home_edge_a,rest_days_a,rest_days_b,market_prob_a,market_spread_a,moneyline_a,moneyline_b
2022,Ohio State,Akron,67,66,0,Regular Season,2021-11-09,Ohio State,1,,,,,,
2022,Wofford,Bob Jones,117,79,0,Regular Season,2021-11-09,Wofford,1,,,,,,
2022,Providence,Fairfield,80,73,0,Regular Season,2021-11-10,Providence,1,,,,,,
2022,Iowa State,Kennesaw St,84,73,0,Regular Season,2021-11-10,Iowa State,1,,,,,,
2022,Syracuse,Lafayette,97,63,0,Regular Season,2021-11-10,Syracuse,1,,,,,,
2022,Brown,Salve Regina,89,59,0,Regular Season,2021-11-10,Brown,1,,,,,,
2022,Chicago St,St Thomas (MN),77,72,0,Regular Season,2021-11-10,Chicago St,1,,,,,,
2022,G Washington,Saint Francis,75,72,0,Regular Season,2021-11-10,G Washington,1,,,,,,
2022,Auburn,Morehead St,77,54,0,Regular Season,2021-11-10,Auburn,1,,,,,,
2022,Michigan St,Kansas,74,87,1,State Farm Champions Classic,2021-11-10,,0,,,,,,
2022,Northern Iowa,Nicholls,58,62,0,Regular Season,2021-11-10,Northern Iowa,1,,,,,,
2022,Charleston So,J&W (NC),118,71,0,Regular Season,2021-11-10,Charleston So,1,,,,,,
2022,Holy Cross,Regis College,98,51,0,Regular Season,2021-11-10,Holy Cross,1,,,,,,
2022,Arkansas St,Harding,81,55,0,Regular Season,2021-11-10,Arkansas St,1,,,,,,
2022,Louisiana,W Florida,81,47,0,Regular Season,2021-11-10,Louisiana,1,,,,,,
2022,SF Austin,LSU Alexandria,82,73,0,Regular Season,2021-11-10,SF Austin,1,,,,,,
2022,DePaul,Coppin St,97,72,0,Regular Season,2021-11-11,DePaul,1,,0,,,,
2022,James Madison,CARLOW,135,40,0,Regular Season,2021-11-11,James Madison,1,,0,,,,
2022,Santa Barbara,San Fran St,119,65,0,Regular Season,2021-11-11,Santa Barbara,1,,0,,,,
2022,NJIT,Merrimack,54,61,0,Regular Season,2021-11-12,NJIT,1,,1,,,,
2022,UC Davis,E Washington,84,76,0,Regular Season,2021-11-12,UC Davis,1,1,1,,,,
2022,Norfolk St,Wilkes-Barre,111,55,0,Regular Season,2021-11-12,Norfolk St,1,1,,,,,
2022,St John's,Saint Peter's,91,70,0,Regular Season,2021-11-13,St John's,1,2,3,,,,
2022,West Virginia,Pitt,74,59,0,Regular Season,2021-11-13,West Virginia,1,2,2,,,,
2022,Yale,UMass,91,71,0,Regular Season,2021-11-13,Yale,1,2,2,,,,
2022,New Orleans,Spring Hill,79,41,0,Regular Season,2021-11-13,New Orleans,1,2,0,,,,
2022,Oregon,SMU,86,63,0,Regular Season,2021-11-13,Oregon,1,2,2,,,,
2022,Purdue,Indiana St,92,67,0,Regular Season,2021-11-13,Purdue,1,2,2,,,,
2022,Oklahoma St,Oakland,55,56,0,Regular Season,2021-11-13,Oklahoma St,1,2,2,,,,
2022,FAU,Warner,78,56,0,Regular Season,2021-11-13,FAU,1,1,,,,,
2022,S Illinois,Austin Peay,73,55,0,Regular Season,2021-11-13,S Illinois,1,3,2,,,,
2022,Tennessee St,Norfolk St,59,66,1,HBCU Invitational,2021-11-13,,0,2,0,,,,
2022,St Bonaventure,Canisius,69,60,0,Regular Season,2021-11-14,St Bonaventure,1,3,0,,,,
2022,Bucknell,Penn,68,73,0,Regular Season,2021-11-14,Bucknell,1,3,0,,,,
2022,Cincinnati,Georgia,73,68,0,Regular Season,2021-11-14,Cincinnati,1,3,3,,,,
2022,Missouri St,Alabama St,78,60,0,Regular Season,2021-11-14,Missouri St,1,3,2,,,,
2022,Milwaukee,E Kentucky,71,77,0,Regular Season,2021-11-14,Milwaukee,1,3,1,,,,
2022,Bakersfield,Life Pacific,85,60,0,Regular Season,2021-11-14,Bakersfield,1,3,,,,,
2022,E Illinois,C Michigan,61,62,0,Regular Season,2021-11-16,E Illinois,1,2,2,,,,
2022,FAU,Miami,66,68,0,Regular Season,2021-11-16,FAU,1,2,2,,,,
2022,Texas A&M-CC,IU Indy,65,59,1,Regular Season,2021-11-16,,0,1,0,,,,
2022,E Washington,Walla Walla,111,71,0,Regular Season,2021-11-16,E Washington,1,3,,,,,
2022,Washington,Texas Southern,72,65,0,Regular Season,2021-11-16,Washington,1,3,2,,,,
2022,Fairfield,Medgar Evers,110,55,0,Regular Season,2021-11-17,Fairfield,1,2,,,,,
2022,C Connecticut,NC State,65,79,1,Basketball Hall of Fame Showcase,2021-11-17,,0,2,3,,,,
2022,Fullerton,G Washington,74,59,0,Regular Season,2021-11-17,Fullerton,1,4,2,,,,
2022,Wichita St,Tarleton St,65,51,0,Regular Season,2021-11-17,Wichita St,1,3,3,,,,
2022,Cleveland St,Edinboro,75,61,0,Regular Season,2021-11-17,Cleveland St,1,2,,,,,
2022,Army,Merrimack,74,51,0,Regular Season,2021-11-17,Army,1,3,3,,,,
2022,UC Irvine,La Verne,100,41,0,Regular Season,2021-11-17,UC Irvine,1,2,6,,,,
2022,Baylor,C Arkansas,92,47,0,Regular Season,2021-11-18,Baylor,1,2,5,,,,
2022,LMU,Little Rock,82,63,0,Jacksonville Classic - Campus Game,2021-11-18,LMU,1,3,3,,,,
