season,team,seed,adj_offense,adj_defense,tempo,sos,net_rating,q1_wins,q2_wins,q3_losses,q4_losses,recent_form,injuries_impact,fg3_pct,tov_pct,orb_pct,drb_pct,ft_rate,ast_rate,stl_rate,blk_rate,three_rate,opp_three_rate,opp_fg3_pct,opp_ft_rate
2021,Abilene Chrstn,4,106.299882,89.655266,72.749074,-1.168203,13.665664,1,7,1,0,0.779937,0,0.353135,0.190406,0.315306,0.684694,0.350737,0.655541,0.136441,0.042765,0.372236,0.355333,0.338704,0.320156
2021,Adams St,13,97.61226,231.035038,80.025,11.118707,-12.183631,0,0,0,0,0.004302,0,0.391304,0.237426,0.366667,0.633333,0.301587,0.615385,0.112465,0.037488,0.365079,0.323836,0.36699,0.390048
2021,Adrian,16,47.398664,99.910118,79.425,-3.070681,-39.870314,0,0,2,0,0.006036,0,0.125,0.302172,0.15,0.85,0.051724,0.314286,0.088133,0.031476,0.344828,0.375977,0.320823,0.277539
2021,Air Force,11,95.789253,109.300309,63.699,10.302006,-2.899667,1,1,1,2,0.14268,0,0.330171,0.226691,0.189655,0.810345,0.308547,0.590038,0.111148,0.038933,0.450427,0.383164,0.33926,0.317494
2021,Akron,4,112.572123,99.8651,70.772826,6.041704,12.042084,2,8,1,1,0.493258,0,0.332822,0.166485,0.292737,0.707263,0.30318,0.485669,0.06942,0.051604,0.460777,0.370425,0.330829,0.271945
2021,Alabama,1,112.618147,96.349686,74.971667,18.54047,27.82537,21,5,0,0,0.756146,0,0.350877,0.187182,0.306173,0.693827,0.286009,0.510791,0.115155,0.058244,0.470831,0.362702,0.338054,0.327738
2021,Alabama A&M,12,87.879273,95.608685,71.14,-3.277315,-6.930897,0,1,5,2,0.226324,0,0.29021,0.2146,0.279029,0.720971,0.317972,0.475504,0.076844,0.050604,0.329493,0.339819,0.314924,0.359187
2021,Alabama St,13,87.137065,100.902713,72.206944,-5.156648,-12.490328,0,0,8,4,0.234156,0,0.317143,0.223894,0.313936,0.686064,0.427156,0.456919,0.084633,0.033084,0.346878,0.329272,0.311354,0.354257
2021,Alcorn St,13,93.270043,105.975296,71.136842,0.980405,-7.872495,0,0,6,0,0.32939,0,0.300532,0.204202,0.345395,0.654605,0.339657,0.406897,0.10654,0.022196,0.339657,0.3524,0.327561,0.347663
2021,Alice Lloyd,14,84.34279,122.471112,73.0125,10.09917,-19.700015,0,0,0,0,0.003841,0,0.26,0.225989,0.389831,0.610169,0.149606,0.630435,0.130115,0.013696,0.393701,0.399301,0.351462,0.352439
2021,American,8,100.397141,101.220605,70.7775,7.906413,4.048896,0,2,0,0,0.393776,0,0.378151,0.223235,0.239264,0.760736,0.267504,0.516129,0.10314,0.066405,0.427289,0.340711,0.321268,0.338987
2021,App State,7,104.140308,97.005059,68.2875,0.779234,6.731372,0,8,5,0,0.503198,0,0.323823,0.172067,0.305859,0.694141,0.343173,0.494065,0.117675,0.050731,0.431119,0.380107,0.323192,0.3162
2021,AR-Pine Bluff,13,89.333651,108.564748,70.137,2.835034,-10.253181,0,0,9,2,0.178795,0,0.3075,0.224703,0.303594,0.696406,0.385693,0.458015,0.09125,0.05418,0.294985,0.348079,0.328981,0.337823
